order_item_id,order_id,product_id,quantity,price_sold
84,54,1502,1,132.78
85,54,2035,1,231.96
86,55,243,1,607.38
87,56,792,1,505.59
88,57,221,1,616.54
89,58,252,1,715.56
90,59,2191,1,763.36
91,60,1118,1,1310.72
92,61,297,2,221.49
93,61,1220,1,379.36
94,61,1724,1,407.03
95,62,829,1,924.78
96,62,960,1,1292.02
97,63,1386,1,187.76
98,63,30,2,559.94
99,64,1969,1,451.92
100,64,246,2,862.78
101,65,480,1,635.2
102,66,1473,2,320.2
103,67,1488,3,424.38
104,68,2314,2,290.27
105,68,1096,1,295.79
106,68,2268,2,259.11
107,69,409,1,249.12
108,70,406,1,338.16
109,71,1903,2,301.66
110,71,866,1,887.74
111,72,2194,1,803.94
112,72,1602,2,332.84
113,72,1119,1,459.84
114,73,821,1,444.37
115,74,1464,1,239.87
116,75,2315,2,182.11
117,76,500,1,799.34
118,77,1752,1,379.57
119,77,309,1,268.48
120,78,510,1,590.13
121,78,396,2,548.3
122,78,290,1,265.01
123,79,2029,1,264.6
124,79,756,1,185.58
125,79,1983,1,273.69
126,80,451,2,306.88
127,81,148,2,354.48
128,82,1299,1,161.52
129,82,1702,2,470.88
130,83,2014,1,372.39
131,84,368,1,469.49
132,84,388,1,305.78
133,85,939,1,516.94
134,85,1437,1,274.21
135,86,2340,1,485.62
136,86,1752,1,424.04
137,86,1422,1,194.4
138,87,490,2,445.37
139,87,857,1,261.21
140,88,437,3,356.31
141,89,1052,2,434.95
142,89,262,1,346.93
143,89,1726,1,333.23
144,90,977,1,166.94
145,91,910,1,244.83
146,92,1387,3,256.26
147,92,827,2,488.03
148,93,1989,1,358.26
149,93,2483,1,1000.97
150,94,8,1,659.43
151,95,1345,2,340.23
152,96,407,1,199.18
153,97,242,1,308.16
154,98,2377,1,438.25
155,98,131,1,627.18
156,99,1095,1,543.71
157,100,2123,1,908.34
158,100,774,1,128.97
159,100,1530,1,776.61
160,100,1459,1,130.19
161,101,898,1,238.37
162,101,1315,1,337.12
163,102,437,1,203.67
164,102,40,1,798.12
165,102,999,1,651.82
166,102,161,1,382.85
167,103,2337,1,749.54
168,103,1456,1,922.02
169,103,1520,1,217.33
170,104,273,1,710.7
171,105,1689,2,993.7
172,105,592,1,839.75
173,106,306,3,418.82
174,107,2450,1,859.97
175,107,2045,1,1294.67
176,108,2420,1,196.33
177,109,2262,1,613.97
178,109,1915,1,465.73
179,110,681,1,678.9
180,110,1760,2,191.52
181,111,829,2,436.49
182,112,997,1,899.28
183,113,598,1,355.17
184,113,946,1,232.17
185,113,1236,1,432.08
186,114,1354,2,259.25
187,115,773,1,692.13
188,116,1639,1,414.32
189,116,1364,1,241.48
190,117,1954,1,200.82
191,118,1672,1,510.03
192,119,1702,1,333.6
193,120,904,1,297.47
194,120,454,1,735.09
195,120,801,1,194.17
196,120,2405,3,395.4
197,121,2334,1,262.89
198,122,1810,1,238.66
199,122,1826,1,291.59
200,122,256,2,347.39
201,123,570,2,154.79
202,124,673,3,343.08
203,125,930,1,276.0
204,125,805,1,220.08
205,125,2261,1,342.19
206,126,2442,1,1015.04
207,127,1871,1,484.51
208,127,701,1,401.21
209,127,1220,1,230.01
210,128,1366,2,592.78
211,128,2247,1,310.49
212,129,337,1,421.68
213,130,1728,1,341.93
214,131,1127,1,171.56
215,131,1344,2,603.38
216,132,922,1,408.17
217,133,478,3,598.76
218,134,2412,1,194.9
219,134,122,1,142.86
220,134,667,1,387.18
221,135,2387,3,160.83
222,135,2204,1,169.7
223,135,2444,1,485.93
224,136,1142,1,301.07
225,136,661,3,1044.85
226,136,1825,1,448.84
227,137,612,1,237.13
228,137,625,1,248.03
229,137,1853,1,489.88
230,138,2416,1,231.6
231,139,1310,1,446.01
232,139,1613,3,220.1
233,140,644,1,1129.45
234,141,1552,2,155.02
235,142,881,1,409.91
236,143,69,2,233.31
237,144,752,1,1040.0
238,145,1117,1,342.08
239,145,805,1,220.08
240,146,485,1,255.16
241,146,2124,1,332.16
242,147,1983,1,938.95
243,147,690,1,302.01
244,148,2360,1,442.04
245,149,817,1,205.19
246,149,2102,1,935.21
247,149,2110,2,462.57
248,150,1743,1,383.69
249,150,1793,1,448.13
250,151,55,1,246.16
251,152,1237,2,276.62
252,153,1596,3,184.79
253,154,234,1,144.51
254,155,146,1,278.97
255,156,1953,1,298.64
256,156,1979,1,313.1
257,157,1988,1,913.0
258,158,470,1,273.11
259,159,1164,1,502.4
260,160,78,1,896.93
261,161,193,2,353.28
262,161,752,1,329.29
263,162,2452,2,331.04
264,162,1735,2,717.04
265,162,1139,2,676.78
266,163,970,1,486.81
267,163,1300,1,372.63
268,163,330,1,422.79
269,164,1832,2,1062.1
270,164,2254,1,714.7
271,164,288,1,443.49
272,165,683,1,278.8
273,165,628,2,464.88
274,165,998,2,233.48
275,165,178,1,129.45
276,166,1049,1,355.85
277,167,1353,1,489.46
278,168,1258,2,489.77
279,169,1748,1,155.98
280,170,260,1,246.46
281,170,285,2,514.43
282,170,1913,2,451.42
283,171,132,1,951.02
284,171,2085,1,671.11
285,172,684,1,82.55
286,172,406,3,373.68
287,172,1818,1,272.05
288,173,1915,1,275.01
289,174,121,2,233.73
290,174,22,2,429.67
291,174,168,1,607.53
292,175,1691,1,254.44
293,175,2092,2,585.13
294,175,1287,2,551.87
295,176,1390,1,1161.08
296,177,1510,2,306.16
297,177,691,2,217.57
298,178,225,1,1210.9
299,179,1265,1,262.37
300,179,345,1,1305.19
301,179,974,1,374.96
302,179,374,3,385.87
303,180,2395,2,597.82
304,181,841,1,880.64
305,182,148,1,292.39
306,183,286,1,701.72
307,184,1910,2,472.81
308,185,1680,2,988.4
309,185,662,1,383.95
310,185,2083,1,472.56
311,186,1619,1,365.91
312,187,916,2,74.57
313,188,1140,1,610.73
314,188,1987,2,286.17
315,188,505,1,245.7
316,189,49,1,356.36
317,190,1300,2,413.59
318,190,15,1,573.58
319,190,1587,2,842.69
320,191,375,1,420.16
321,192,42,1,768.58
322,192,1970,1,742.41
323,193,145,1,139.79
324,193,1448,1,589.32
325,194,220,3,529.72
326,194,885,1,387.44
327,194,199,2,252.38
328,195,1143,2,1083.58
329,196,750,3,361.61
330,196,1751,2,536.73
331,196,2483,1,139.07
332,197,493,1,347.03
333,197,447,2,312.76
334,198,912,1,534.61
335,198,806,1,363.72
336,199,2178,1,544.55
337,200,635,1,396.73
338,201,2035,1,228.63
339,202,73,1,246.37
340,203,1106,1,520.62
341,203,1944,1,268.63
342,203,1731,1,255.88
343,204,1446,1,616.74
344,204,2408,1,216.52
345,204,1738,1,704.72
346,205,255,1,288.76
347,206,1581,1,358.95
348,206,1804,1,173.66
349,207,509,2,400.59
350,207,951,2,583.98
351,207,2384,2,245.05
352,208,157,1,957.94
353,209,1307,1,172.3
354,209,539,1,143.72
355,209,1412,1,539.52
356,210,221,2,379.09
357,211,1914,1,707.23
358,212,1199,1,296.21
359,213,2445,1,829.76
360,213,2000,1,217.45
361,213,503,1,603.68
362,214,400,1,559.56
363,215,1778,2,1380.02
364,215,756,1,227.34
365,216,1874,1,503.36
366,216,2159,1,810.42
367,217,982,1,1233.66
368,217,911,1,293.93
369,218,640,1,528.31
370,219,1035,1,348.19
371,219,343,1,289.11
372,220,843,1,509.14
373,221,538,2,291.34
374,221,150,1,463.54
375,222,643,2,283.39
376,223,1382,1,592.22
377,224,619,2,659.58
378,225,92,1,482.21
379,226,989,1,446.19
380,227,639,1,192.74
381,227,920,3,202.21
382,227,576,2,385.06
383,228,1699,2,199.27
384,228,2159,1,713.74
385,228,1005,2,201.68
386,229,2219,1,421.97
387,230,1464,2,396.87
388,231,177,1,204.91
389,231,705,1,447.81
390,232,198,1,608.58
391,233,62,1,254.41
392,233,1584,2,317.4
393,234,2392,3,232.97
394,234,299,1,810.08
395,235,578,1,571.44
396,236,138,1,256.33
397,236,1634,1,250.72
398,237,607,1,287.41
399,238,326,1,186.02
400,239,1880,2,632.44
401,240,2107,1,769.21
402,240,1670,1,195.59
403,241,39,3,382.87
404,241,1433,1,148.24
405,242,1397,2,233.15
406,242,1088,3,282.44
407,242,524,1,220.83
408,243,1932,1,646.42
409,243,145,2,347.94
410,243,1495,2,207.67
411,244,403,1,665.76
412,244,350,2,342.12
413,244,408,2,182.12
414,245,242,1,408.13
415,246,1895,1,651.89
416,246,1928,1,477.5
417,246,1382,3,249.94
418,247,644,1,604.37
419,247,2144,1,931.68
420,247,1919,2,513.5
421,248,1624,1,376.93
422,248,1444,2,291.81
423,249,1247,1,574.35
424,249,1743,2,433.75
425,250,2476,1,119.08
426,251,1409,1,392.39
427,251,19,1,221.28
428,252,1889,1,417.86
429,252,265,1,564.9
430,253,2347,3,200.2
431,253,70,1,584.94
432,253,822,2,283.83
433,254,1059,1,428.86
434,254,1261,1,145.84
435,254,2195,1,279.58
436,254,1098,1,262.15
437,255,2096,1,510.94
438,256,423,1,491.35
439,256,2032,1,497.49
440,257,1584,1,554.15
441,258,726,2,730.29
442,258,1870,2,387.1
443,259,629,1,633.42
444,259,690,3,374.12
445,260,1306,1,216.36
446,260,103,1,194.22
447,260,1287,1,1398.02
448,260,193,1,320.86
449,261,928,1,159.43
450,262,775,1,486.82
451,263,1091,1,496.61
452,264,335,2,271.3
453,264,2043,3,304.22
454,265,1466,1,942.28
455,266,1490,1,221.9
456,266,1085,1,262.36
457,266,426,1,183.95
458,266,159,1,358.65
459,267,1588,2,945.75
460,268,1680,1,330.17
461,268,888,1,723.7
462,269,878,1,294.65
463,269,1917,1,303.62
464,269,317,1,531.44
465,270,1490,1,220.64
466,271,2062,1,341.65
467,271,2019,1,278.09
468,271,2438,1,248.98
469,272,1241,1,285.08
470,273,911,2,131.82
471,273,959,2,230.72
472,274,1811,1,580.94
473,275,495,1,534.84
474,275,2317,2,494.35
475,275,1304,1,609.22
476,276,1712,1,672.68
477,276,1728,1,660.95
478,276,350,1,797.4
479,277,1271,1,263.46
480,278,1268,1,1314.82
481,278,925,1,180.68
482,279,1152,2,330.74
483,280,11,1,405.38
484,280,1357,1,533.22
485,280,1308,1,155.18
486,280,2419,1,710.11
487,281,2303,1,99.6
488,282,544,1,777.73
489,282,1039,1,337.58
490,282,1421,1,548.65
491,283,1059,1,217.09
492,283,1796,2,419.9
493,284,2277,1,450.73
494,284,2011,2,238.35
495,284,409,1,622.01
496,284,1670,1,490.01
497,285,2498,1,359.56
498,286,1533,1,908.98
499,286,846,1,186.0
500,286,2181,2,539.81
501,287,141,1,393.14
502,287,829,1,222.74
503,287,993,2,568.88
504,287,180,1,391.54
505,288,322,1,235.43
506,289,445,1,273.27
507,289,149,2,955.59
508,290,1732,1,799.38
509,290,1999,1,449.26
510,291,183,1,195.96
511,291,567,1,311.34
512,292,1501,1,270.44
513,293,2078,1,308.29
514,293,2046,1,142.52
515,293,237,2,233.13
516,294,1666,1,629.33
517,294,2349,1,156.97
518,295,118,1,376.14
519,295,626,1,249.06
520,295,303,1,639.23
521,295,601,1,492.93
522,296,800,1,336.29
523,297,1898,2,282.32
524,297,2079,2,138.46
525,298,657,2,116.87
526,299,949,1,266.43
527,299,1484,1,317.69
528,299,1103,1,62.09
529,299,286,1,348.38
530,300,1762,1,205.95
531,301,1651,1,560.66
532,302,1552,1,286.8
533,302,66,1,340.03
534,302,977,1,234.27
535,303,89,1,185.58
536,304,2050,1,287.85
537,305,1200,2,438.12
538,306,577,1,365.68
539,307,1910,1,197.84
540,307,957,1,313.66
541,308,1066,1,302.15
542,308,2117,1,326.37
543,309,2143,1,337.55
544,309,2333,1,858.71
545,309,621,1,700.86
546,309,850,1,261.84
547,310,1511,1,391.52
548,310,1054,2,290.54
549,311,502,1,766.16
550,311,119,1,554.32
551,311,179,2,498.94
552,312,537,1,227.87
553,313,1930,1,439.73
554,313,2321,1,615.1
555,313,1403,1,444.42
556,314,861,1,108.82
557,314,313,1,121.18
558,315,10,1,212.92
559,316,1097,1,879.0
560,317,804,1,566.65
561,318,727,1,269.27
562,318,1064,3,142.5
563,318,2427,1,593.94
564,319,1179,1,177.3
565,320,1962,1,299.45
566,320,1597,1,309.28
567,320,1128,1,482.13
568,320,2360,1,499.12
569,321,952,1,591.18
570,321,676,2,752.83
571,321,2412,1,353.09
572,322,2063,1,462.65
573,322,1228,2,449.8
574,323,1060,1,403.55
575,324,206,1,428.07
576,324,156,2,881.35
577,325,1731,1,2057.44
578,325,168,1,456.56
579,325,552,2,637.25
580,326,1982,2,1048.7
581,327,803,1,370.04
582,327,2395,1,287.95
583,327,1647,1,240.79
584,327,141,1,225.13
585,328,1467,1,706.18
586,328,1740,1,594.05
587,329,2169,1,1000.64
588,330,1282,1,64.56
589,331,1234,1,310.22
590,331,1679,1,767.19
591,332,644,1,876.88
592,333,336,2,534.32
593,333,299,1,453.2
594,334,1749,3,402.66
595,335,312,1,1129.37
596,336,1230,1,803.66
597,337,512,1,279.14
598,338,2069,1,424.61
599,339,2483,1,684.11
600,339,1565,1,154.79
601,340,1791,1,357.41
602,340,866,2,493.26
603,341,2495,2,224.48
604,341,991,1,163.13
605,341,5,2,567.5
606,342,2335,1,332.45
607,342,1622,1,352.4
608,342,1772,1,122.92
609,343,1401,1,589.83
610,344,1268,1,428.81
611,344,2234,1,220.14
612,345,516,1,389.32
613,346,1266,1,394.23
614,347,2343,1,297.08
615,347,2138,2,386.18
616,348,2452,1,282.77
617,348,2453,1,231.69
618,349,1433,1,883.17
619,350,1884,1,647.76
620,350,1407,3,406.9
621,350,606,1,374.29
622,351,376,1,502.46
623,351,2453,1,356.83
624,352,648,1,339.32
625,353,2279,1,122.69
626,354,1869,1,311.26
627,354,91,1,373.77
628,355,1636,1,482.97
629,355,1135,1,237.64
630,355,2462,1,603.04
631,356,97,1,213.47
632,356,752,1,537.93
633,357,276,1,1230.12
634,358,1087,1,419.55
635,358,632,1,491.78
636,359,711,1,219.94
637,359,1467,1,1284.26
638,359,1201,1,293.87
639,359,469,2,201.92
640,360,2186,1,326.48
641,360,603,2,355.76
642,360,1208,2,438.21
643,361,1486,1,116.22
644,361,2356,1,145.5
645,362,2207,2,722.85
646,363,1593,1,477.95
647,363,1807,1,427.58
648,364,774,3,176.82
649,365,1566,1,190.8
650,366,1585,1,272.26
651,367,2097,2,260.65
652,368,139,3,641.63
653,368,260,1,331.19
654,369,206,2,486.49
655,369,686,2,237.91
656,369,665,1,369.46
657,370,2492,1,917.34
658,371,1526,2,330.58
659,371,1536,1,289.56
660,371,215,1,981.52
661,372,2107,1,318.22
662,373,2201,1,396.5
663,374,966,1,492.99
664,375,415,1,259.54
665,376,2117,2,607.2
666,376,1975,1,531.57
667,376,1764,1,588.69
668,377,1979,1,631.16
669,377,1564,1,370.83
670,378,2423,1,552.15
671,378,130,2,687.99
672,379,643,3,1096.23
673,380,613,2,517.48
674,381,1573,1,370.55
675,381,2264,1,240.22
676,381,2343,2,319.14
677,382,1868,2,423.89
678,382,254,1,647.21
679,382,1184,1,486.23
680,382,664,1,644.58
681,383,1988,2,868.45
682,384,1579,3,451.3
683,384,1814,1,359.18
684,385,1751,1,284.53
685,386,820,3,280.28
686,386,1529,2,328.41
687,386,1261,1,347.33
688,387,1403,1,355.41
689,388,18,1,293.71
690,389,684,1,556.16
691,390,649,1,319.85
692,390,1068,1,247.22
693,390,803,2,1318.76
694,391,975,1,704.88
695,392,1596,2,213.74
696,392,213,1,287.58
697,393,2269,1,525.22
698,394,669,1,2004.14
699,395,1981,1,610.03
700,395,2412,1,583.72
701,396,923,2,1380.68
702,396,1928,1,876.44
703,396,966,1,250.66
704,397,2014,1,503.31
705,397,124,1,199.2
706,398,356,2,1046.35
707,398,796,1,230.83
708,399,677,2,465.27
709,399,890,2,519.51
710,400,1059,1,313.91
711,400,877,1,641.89
712,401,1755,1,312.01
713,402,2005,1,345.78
714,403,868,1,687.87
715,404,391,2,200.32
716,405,750,1,291.26
717,406,1526,2,790.79
718,407,2330,3,442.48
719,408,1262,1,157.28
720,409,1029,1,303.98
721,410,3,1,362.57
722,410,2127,1,528.43
723,411,546,1,238.21
724,411,411,1,504.13
725,412,1255,1,343.68
726,412,2366,1,196.86
727,413,1044,2,732.07
728,414,851,1,185.47
729,414,514,1,509.64
730,415,2071,1,306.03
731,415,2018,3,317.71
732,415,2013,1,341.69
733,416,830,1,674.22
734,416,243,1,254.95
735,417,61,1,421.13
736,418,1071,1,954.66
737,418,233,1,1005.2
738,418,1749,1,417.29
739,419,147,1,167.1
740,420,667,1,281.44
741,420,368,1,314.13
742,420,1433,2,876.24
743,421,986,1,68.83
744,422,1117,3,991.92
745,423,944,2,607.52
746,423,2456,1,453.25
747,424,2370,1,337.34
748,425,726,1,350.57
749,426,903,1,346.16
750,426,1527,2,695.7
751,426,361,1,234.98
752,427,641,3,485.41
753,427,597,3,1245.97
754,428,245,1,252.7
755,429,387,1,244.1
756,430,795,2,317.29
757,431,2389,1,261.56
758,432,2314,1,540.05
759,433,1910,1,735.03
760,434,759,1,201.87
761,435,2425,3,261.32
762,435,1494,1,254.89
763,435,894,2,229.76
764,436,2462,1,419.18
765,437,271,1,539.95
766,438,1647,1,508.73
767,438,60,1,496.61
768,438,445,1,222.04
769,438,1011,2,707.81
770,439,779,1,381.98
771,439,1175,3,1366.64
772,439,1775,1,251.98
773,440,1849,2,437.34
774,440,1386,1,343.13
775,440,462,1,336.92
776,441,1978,1,237.6
777,442,1545,2,305.06
778,443,1153,1,280.86
779,444,2343,1,300.86
780,445,521,2,592.7
781,445,1518,1,760.74
782,445,1320,1,496.23
783,445,275,1,450.25
784,446,1879,1,313.15
785,447,1154,1,471.06
786,448,1785,1,147.08
787,448,978,1,187.27
788,448,338,2,377.62
789,448,1912,1,142.84
790,449,2430,1,190.88
791,449,1492,1,536.68
792,450,2052,2,264.35
793,450,674,1,226.61
794,451,2290,1,693.44
795,451,402,1,332.65
796,452,677,2,696.81
797,452,113,1,1481.85
798,452,2102,1,250.5
799,452,1951,2,431.13
800,453,169,3,510.56
801,454,1815,1,321.43
802,454,280,1,256.5
803,455,2177,1,490.69
804,455,1434,1,223.65
805,455,1849,1,247.19
806,455,1003,1,1227.12
807,456,961,1,215.15
808,456,463,3,384.28
809,457,1432,1,150.66
810,457,2097,1,260.65
811,457,2410,1,101.21
812,457,2231,1,263.69
813,458,2463,1,317.11
814,459,976,1,797.96
815,459,2162,1,219.87
816,459,2107,2,542.79
817,460,6,1,337.78
818,460,1501,2,443.94
819,460,354,2,297.46
820,461,918,1,389.18
821,462,1939,2,118.47
822,462,2054,1,145.22
823,463,834,1,389.16
824,464,1075,2,245.61
825,464,629,1,319.73
826,464,1733,1,566.1
827,464,1880,1,641.8
828,465,2134,1,933.78
829,465,1667,3,222.62
830,466,1710,1,169.92
831,467,2289,1,326.52
832,467,1477,1,426.4
833,467,2409,1,319.97
834,467,1915,3,522.06
835,468,481,1,305.81
836,468,1215,1,355.39
837,469,1755,1,452.45
838,469,2403,1,439.26
839,470,871,1,301.19
840,471,278,2,253.36
841,471,2474,2,739.44
842,472,534,1,285.17
843,473,2427,2,317.63
844,474,784,1,199.43
845,474,2024,1,649.1
846,474,1961,1,226.69
847,474,35,1,455.1
848,475,2212,1,404.14
849,476,1563,1,777.25
850,477,888,1,1079.07
851,477,1035,1,263.45
852,477,1943,1,292.15
853,477,2095,1,399.49
854,478,96,2,446.03
855,479,464,2,944.98
856,480,843,1,377.14
857,481,2003,1,286.93
858,482,2208,1,689.42
859,483,2242,1,560.9
860,484,2198,1,662.59
861,484,125,1,730.7
862,484,1616,2,221.88
863,485,1225,1,596.1
864,485,1810,1,416.74
865,485,377,1,412.58
866,486,2232,1,330.74
867,487,850,1,202.57
868,487,1687,1,593.35
869,487,2043,3,268.39
870,488,1155,1,202.55
871,488,500,1,162.42
872,488,464,2,188.07
873,489,1987,1,170.14
874,489,123,1,257.71
875,489,2280,1,441.12
876,490,980,1,537.33
877,490,938,2,306.92
878,490,1037,1,452.56
879,491,713,1,890.25
880,491,2196,1,474.78
881,492,150,1,133.65
882,493,14,1,261.89
883,493,284,1,284.24
884,493,515,2,100.84
885,493,1587,2,561.9
886,494,265,1,197.7
887,495,1172,1,180.28
888,496,584,1,446.57
889,496,2024,1,336.55
890,496,725,2,641.78
891,497,564,2,189.47
892,498,1037,1,304.01
893,499,817,1,339.73
894,499,1820,1,153.85
895,500,1403,1,299.26
896,500,433,1,532.72
897,501,2245,1,276.89
898,501,1863,2,243.21
899,502,1237,1,276.62
900,502,598,2,1259.02
901,503,1492,1,673.16
902,504,1860,3,440.54
903,504,171,1,429.43
904,504,945,2,489.53
905,504,1155,1,415.21
906,505,355,1,96.6
907,505,2029,1,469.67
908,505,2003,1,278.24
909,506,1734,2,472.49
910,506,2213,1,730.49
911,507,1754,1,834.18
912,507,613,1,231.74
913,508,886,2,312.65
914,508,263,1,117.87
915,509,357,1,493.15
916,509,784,2,362.41
917,510,1652,1,1002.82
918,511,1099,3,245.2
919,511,2419,1,476.32
920,512,1495,1,177.99
921,513,1992,1,225.38
922,514,691,1,636.2
923,514,262,1,555.61
924,515,1011,2,222.91
925,516,790,1,683.84
926,516,1292,1,747.67
927,516,2082,1,821.79
928,516,227,1,259.69
929,517,1736,1,459.17
930,517,2305,2,232.65
931,518,1425,1,247.76
932,519,1076,1,435.47
933,520,1026,1,314.99
934,520,1388,1,1454.75
935,521,2321,2,329.81
936,522,1896,2,846.87
937,522,1406,1,566.9
938,522,1207,1,337.66
939,522,1219,2,172.39
940,523,645,1,796.51
941,524,963,2,225.58
942,525,73,1,672.35
943,525,1427,1,178.43
944,525,1012,1,109.2
945,526,322,2,245.0
946,527,2015,1,555.41
947,528,1940,1,622.41
948,528,1393,1,624.11
949,529,2470,1,467.86
950,529,1335,1,385.79
951,530,2246,1,358.3
952,531,1989,1,693.2
953,531,137,1,413.21
954,531,681,1,117.06
955,532,230,1,430.99
956,533,1194,2,681.11
957,533,1062,1,428.72
958,534,2453,2,416.97
959,534,1909,2,324.4
960,535,1102,2,386.96
961,535,755,2,602.8
962,536,1506,1,269.53
963,536,342,1,123.76
964,537,2311,1,106.98
965,538,257,1,443.69
966,539,1433,1,409.53
967,540,866,1,237.82
968,540,1826,1,291.59
969,541,2084,1,380.47
970,541,350,1,978.05
971,542,459,1,410.03
972,542,2212,1,143.41
973,542,1774,1,448.12
974,543,1901,1,199.62
975,544,2410,2,332.3
976,544,1658,2,510.28
977,545,1159,1,426.89
978,545,1831,1,437.58
979,546,2136,2,558.65
980,546,270,2,1018.84
981,546,1824,2,664.04
982,547,2105,1,716.47
983,548,709,1,220.51
984,549,69,1,626.56
985,549,55,1,300.0
986,550,490,1,57.75
987,550,510,1,447.46
988,551,1359,2,269.92
989,551,146,2,386.87
990,552,1493,1,580.82
991,552,2202,1,378.22
992,553,1397,1,453.21
993,553,1923,1,361.46
994,553,2132,1,344.67
995,554,1965,1,1330.47
996,555,496,1,243.61
997,555,2400,2,379.01
998,555,1912,3,248.76
999,555,1567,1,339.27
1000,556,1733,2,458.28
1001,557,1960,1,372.15
1002,558,2202,1,805.3
1003,558,1984,1,424.82
1004,559,1473,2,288.86
1005,559,938,1,423.61
1006,560,817,1,389.59
1007,560,1782,2,633.98
1008,560,1131,1,609.26
1009,560,2218,1,800.41
1010,561,848,2,1142.26
1011,561,225,3,676.24
1012,562,2209,1,1275.17
1013,562,1729,1,307.52
1014,563,1473,1,228.49
1015,564,537,1,282.48
1016,565,929,1,165.12
1017,565,2113,1,276.62
1018,565,1138,1,251.56
1019,566,150,1,420.21
1020,566,331,1,371.99
1021,567,322,1,361.07
1022,567,40,1,1010.85
1023,567,182,1,245.79
1024,567,2019,1,278.09
1025,568,1506,1,653.55
1026,569,1109,1,387.91
1027,570,1909,2,416.74
1028,570,2186,1,383.87
1029,570,2403,1,542.38
1030,571,1976,1,144.36
1031,571,702,1,466.69
1032,572,1528,1,667.89
1033,572,1332,2,663.4
1034,573,1748,1,371.36
1035,573,2356,1,248.77
1036,574,1930,1,434.78
1037,575,2119,1,197.72
1038,575,318,1,565.58
1039,575,2009,1,284.15
1040,576,1497,1,227.44
1041,577,2231,1,305.75
1042,577,1833,1,308.95
1043,578,1067,1,1092.36
1044,578,594,1,139.57
1045,579,356,1,713.05
1046,579,210,1,365.78
1047,580,2116,1,331.5
1048,581,2091,2,220.33
1049,581,1788,2,1112.48
1050,581,2251,3,574.49
1051,581,2076,1,436.21
1052,582,360,2,267.99
1053,583,1532,2,329.37
1054,583,1178,1,281.17
1055,583,1834,2,225.97
1056,584,1344,1,935.55
1057,584,2239,1,137.74
1058,584,1590,2,292.22
1059,584,1075,1,1314.82
1060,585,1919,1,297.85
1061,585,1206,1,706.46
1062,586,1847,1,328.02
1063,586,963,1,201.03
1064,587,804,1,284.61
1065,587,863,1,412.34
1066,588,926,2,774.9
1067,588,2434,1,191.85
1068,588,2486,2,402.22
1069,588,434,1,471.31
1070,589,351,1,543.31
1071,589,1678,1,328.57
1072,589,2089,2,193.17
1073,590,694,1,485.51
1074,590,1648,2,189.51
1075,591,1907,2,386.27
1076,591,686,1,517.76
1077,591,1844,1,995.81
1078,592,2267,1,393.68
1079,593,1784,1,869.44
1080,594,1164,1,530.44
1081,595,1765,1,515.49
1082,596,1770,1,394.32
1083,596,407,1,412.31
1084,596,921,2,245.31
1085,597,434,2,276.12
1086,598,680,2,107.64
1087,598,2068,1,397.99
1088,599,2219,1,242.08
1089,599,1911,1,59.88
1090,600,756,1,498.31
1091,600,1851,2,349.07
1092,601,603,2,296.5
1093,602,503,1,602.98
1094,603,1677,1,330.72
1095,604,364,1,605.3
1096,605,1565,1,367.1
1097,605,455,1,848.43
