product_id,supplier_id,product_name,category,subcategory,cost_price,mrp,commission_percent
51,124,Kids Wear 51,Fashion,Kids Wear,1399.39,2273.58,8.97
52,131,Kurtis 52,Fashion,Kurtis,1029.1,2415.34,23.31
53,16,T-Shirts 53,Fashion,T-Shirts,344.56,865.05,15.98
54,141,Womens Ethnic 54,Fashion,Womens Ethnic,563.98,1264.68,11.32
55,102,Kids Wear 55,Fashion,Kids Wear,181.63,355.0,19.73
56,116,Kurtis 56,Fashion,Kurtis,1135.58,2457.37,15.09
57,18,Kids Wear 57,Fashion,Kids Wear,395.4,995.51,11.15
58,101,Kids Wear 58,Fashion,Kids Wear,1528.09,2389.47,6.25
59,64,Sarees 59,Fashion,Sarees,494.37,981.82,18.7
60,91,Kurtis 60,Fashion,Kurtis,1661.16,2460.64,16.42
61,83,Mens Casual 61,Fashion,Mens Casual,991.62,2490.88,19.32
62,83,T-Shirts 62,Fashion,T-Shirts,1576.8,2724.57,17.87
63,126,T-Shirts 63,Fashion,T-Shirts,853.85,2112.83,18.64
64,8,Kurtis 64,Fashion,Kurtis,966.46,2040.82,12.12
65,137,Sarees 65,Fashion,Sarees,922.81,1811.54,21.28
66,121,Mens Casual 66,Fashion,Mens Casual,775.12,1489.36,11.61
67,56,T-Shirts 67,Fashion,T-Shirts,287.5,529.8,16.89
68,2,T-Shirts 68,Fashion,T-Shirts,1250.06,1905.16,19.89
69,88,Mens Casual 69,Fashion,Mens Casual,1077.26,2768.87,23.52
70,136,Sarees 70,Fashion,Sarees,1366.69,3347.69,12.4
71,99,Kurtis 71,Fashion,Kurtis,1182.89,2534.66,13.66
72,92,Womens Ethnic 72,Fashion,Womens Ethnic,1555.72,2960.49,11.53
73,125,Sarees 73,Fashion,Sarees,1644.1,3076.69,11.88
74,23,Womens Ethnic 74,Fashion,Womens Ethnic,1459.29,2195.48,15.01
75,98,Mens Casual 75,Fashion,Mens Casual,774.23,1700.16,11.59
76,6,T-Shirts 76,Fashion,T-Shirts,600.0,914.72,21.78
77,76,Mens Casual 77,Fashion,Mens Casual,1555.74,2822.55,7.1
78,60,Kids Wear 78,Fashion,Kids Wear,1770.88,3768.17,11.79
79,71,Kids Wear 79,Fashion,Kids Wear,523.88,832.43,17.54
80,85,Sarees 80,Fashion,Sarees,1418.44,3285.88,6.69
81,93,Sarees 81,Fashion,Sarees,1334.2,2536.08,19.92
82,65,Kids Wear 82,Fashion,Kids Wear,890.7,1485.88,16.08
83,40,T-Shirts 83,Fashion,T-Shirts,1462.16,2665.73,11.94
84,142,Mens Casual 84,Fashion,Mens Casual,406.49,730.52,20.93
85,14,Sarees 85,Fashion,Sarees,889.38,1877.56,7.48
86,41,Sarees 86,Fashion,Sarees,1473.13,3428.61,21.33
87,71,Kurtis 87,Fashion,Kurtis,1382.54,3441.6,16.13
88,102,Sarees 88,Fashion,Sarees,670.63,1069.34,14.93
89,145,T-Shirts 89,Fashion,T-Shirts,1587.35,4032.27,17.1
90,133,Mens Casual 90,Fashion,Mens Casual,221.17,369.11,12.11
91,68,Womens Ethnic 91,Fashion,Womens Ethnic,855.26,1257.76,19.67
92,33,Kids Wear 92,Fashion,Kids Wear,1078.19,1615.75,11.09
93,82,Sarees 93,Fashion,Sarees,1067.91,1905.0,9.98
94,52,T-Shirts 94,Fashion,T-Shirts,1032.84,1531.73,18.16
95,64,Kurtis 95,Fashion,Kurtis,1582.85,2928.49,12.01
96,34,Kurtis 96,Fashion,Kurtis,597.66,887.16,19.01
97,131,T-Shirts 97,Fashion,T-Shirts,401.53,692.78,12.38
98,68,Womens Ethnic 98,Fashion,Womens Ethnic,788.43,1336.61,21.93
99,135,Womens Ethnic 99,Fashion,Womens Ethnic,235.83,499.63,14.93
100,98,Sarees 100,Fashion,Sarees,361.79,584.46,22.23
101,56,Kurtis 101,Fashion,Kurtis,1620.41,2635.29,18.45
102,17,Womens Ethnic 102,Fashion,Womens Ethnic,601.92,1356.9,14.66
103,60,Sarees 103,Fashion,Sarees,201.09,340.7,7.1
104,78,Kids Wear 104,Fashion,Kids Wear,610.35,918.09,10.5
105,47,T-Shirts 105,Fashion,T-Shirts,1471.29,2818.79,18.19
106,57,T-Shirts 106,Fashion,T-Shirts,1136.22,1862.33,14.48
107,18,Kurtis 107,Fashion,Kurtis,1027.68,2340.43,6.57
108,106,Mens Casual 108,Fashion,Mens Casual,1682.06,3334.9,14.98
109,107,Sarees 109,Fashion,Sarees,1435.65,2793.64,12.16
110,77,Sarees 110,Fashion,Sarees,754.16,1378.98,11.95
111,130,Womens Ethnic 111,Fashion,Womens Ethnic,469.49,1164.06,7.99
112,52,Kids Wear 112,Fashion,Kids Wear,1473.95,3294.24,12.45
113,13,T-Shirts 113,Fashion,T-Shirts,1332.82,2038.49,8.51
114,53,Kurtis 114,Fashion,Kurtis,463.26,823.75,10.23
115,35,Womens Ethnic 115,Fashion,Womens Ethnic,1022.76,2329.75,9.46
116,22,Mens Casual 116,Fashion,Mens Casual,436.83,1107.55,9.7
117,134,T-Shirts 117,Fashion,T-Shirts,1371.95,2035.7,11.67
118,37,T-Shirts 118,Fashion,T-Shirts,1439.58,2817.85,12.78
119,109,Womens Ethnic 119,Fashion,Womens Ethnic,846.04,1996.94,6.26
120,32,Sarees 120,Fashion,Sarees,592.82,905.44,19.43
121,112,Kids Wear 121,Fashion,Kids Wear,633.59,1272.54,8.83
122,63,Sarees 122,Fashion,Sarees,1731.43,3592.69,19.23
123,149,Kids Wear 123,Fashion,Kids Wear,1230.32,2391.49,14.17
124,112,Womens Ethnic 124,Fashion,Womens Ethnic,412.77,717.5,16.2
125,9,Sarees 125,Fashion,Sarees,1662.62,3015.75,8.84
126,130,T-Shirts 126,Fashion,T-Shirts,1459.98,3721.99,17.16
127,96,Sarees 127,Fashion,Sarees,896.32,1374.94,15.83
128,144,Kurtis 128,Fashion,Kurtis,564.31,1457.97,16.85
129,77,Womens Ethnic 129,Fashion,Womens Ethnic,1114.12,2750.1,20.94
130,86,Kids Wear 130,Fashion,Kids Wear,1718.85,3198.63,17.25
131,71,Womens Ethnic 131,Fashion,Womens Ethnic,1378.56,3088.62,11.64
132,77,Sarees 132,Fashion,Sarees,1223.44,2143.28,13.79
133,2,Kids Wear 133,Fashion,Kids Wear,362.56,866.37,6.54
134,40,Womens Ethnic 134,Fashion,Womens Ethnic,1747.14,2802.15,23.61
135,94,T-Shirts 135,Fashion,T-Shirts,1004.22,2003.04,11.94
136,129,Sarees 136,Fashion,Sarees,1616.17,3789.85,16.58
137,12,Sarees 137,Fashion,Sarees,1126.52,2045.74,8.25
138,12,T-Shirts 138,Fashion,T-Shirts,626.12,1215.74,19.47
139,126,Kurtis 139,Fashion,Kurtis,1260.84,2110.91,8.58
140,33,T-Shirts 140,Fashion,T-Shirts,1721.13,4276.04,22.34
141,80,T-Shirts 141,Fashion,T-Shirts,166.8,393.14,17.99
142,127,Sarees 142,Fashion,Sarees,932.38,2100.93,10.34
143,64,T-Shirts 143,Fashion,T-Shirts,1549.03,2248.37,7.91
144,125,Womens Ethnic 144,Fashion,Womens Ethnic,492.22,865.17,16.57
145,99,Mens Casual 145,Fashion,Mens Casual,1467.18,3367.04,21.93
146,125,Kids Wear 146,Fashion,Kids Wear,928.8,2239.93,12.22
147,52,T-Shirts 147,Fashion,T-Shirts,421.03,843.49,21.65
148,129,Kurtis 148,Fashion,Kurtis,1387.46,2758.08,12.09
149,109,Womens Ethnic 149,Fashion,Womens Ethnic,1731.91,3838.03,22.33
150,89,Sarees 150,Fashion,Sarees,995.4,2000.46,12.45
151,107,Sarees 151,Fashion,Sarees,304.48,545.06,18.19
152,150,Womens Ethnic 152,Fashion,Womens Ethnic,1564.14,2967.96,22.05
153,62,Womens Ethnic 153,Fashion,Womens Ethnic,1070.33,2038.65,12.98
154,95,Sarees 154,Fashion,Sarees,1193.9,2160.91,11.64
155,19,T-Shirts 155,Fashion,T-Shirts,814.38,1984.11,9.94
156,48,Kurtis 156,Fashion,Kurtis,681.49,1758.92,8.37
157,96,Kids Wear 157,Fashion,Kids Wear,1684.26,3390.27,13.11
158,38,Sarees 158,Fashion,Sarees,233.19,362.47,17.54
159,80,Sarees 159,Fashion,Sarees,1637.95,3179.69,16.04
160,142,T-Shirts 160,Fashion,T-Shirts,1593.96,3340.43,11.48
161,105,Sarees 161,Fashion,Sarees,1079.39,2582.69,19.31
162,15,Womens Ethnic 162,Fashion,Womens Ethnic,1080.38,2717.87,12.26
163,53,Sarees 163,Fashion,Sarees,1173.32,2008.54,13.0
164,145,Mens Casual 164,Fashion,Mens Casual,423.12,768.83,19.17
165,31,Sarees 165,Fashion,Sarees,540.74,909.56,8.41
166,3,Kids Wear 166,Fashion,Kids Wear,801.02,2002.6,7.99
167,24,Sarees 167,Fashion,Sarees,462.38,707.21,16.27
168,5,Kurtis 168,Fashion,Kurtis,1568.59,2654.78,21.06
169,100,Kids Wear 169,Fashion,Kids Wear,1241.16,2074.56,6.08
170,49,Mens Casual 170,Fashion,Mens Casual,411.94,582.68,12.27
171,126,Sarees 171,Fashion,Sarees,466.22,1064.98,14.19
172,134,Sarees 172,Fashion,Sarees,1162.17,2030.54,11.57
173,3,Womens Ethnic 173,Fashion,Womens Ethnic,123.14,216.43,21.09
174,41,T-Shirts 174,Fashion,T-Shirts,179.36,435.16,14.44
175,135,Womens Ethnic 175,Fashion,Womens Ethnic,486.24,755.11,9.13
176,98,Sarees 176,Fashion,Sarees,631.74,1411.13,9.73
177,88,Kids Wear 177,Fashion,Kids Wear,333.91,757.83,21.1
178,39,Womens Ethnic 178,Fashion,Womens Ethnic,314.77,635.15,6.23
179,110,Mens Casual 179,Fashion,Mens Casual,1522.47,3118.1,21.43
180,130,T-Shirts 180,Fashion,T-Shirts,1302.0,2733.2,17.99
181,144,Sarees 181,Fashion,Sarees,1743.86,3825.3,12.03
182,27,T-Shirts 182,Fashion,T-Shirts,1745.86,4276.56,7.69
183,125,Mens Casual 183,Fashion,Mens Casual,964.23,1440.87,20.31
184,101,Womens Ethnic 184,Fashion,Womens Ethnic,1480.03,2443.41,13.63
185,78,Sarees 185,Fashion,Sarees,503.94,1099.15,14.64
186,107,Kurtis 186,Fashion,Kurtis,243.71,413.21,23.13
187,3,Kids Wear 187,Fashion,Kids Wear,1096.94,1904.13,9.46
188,45,T-Shirts 188,Fashion,T-Shirts,945.44,1379.49,18.02
189,58,Kurtis 189,Fashion,Kurtis,587.17,1521.83,14.83
190,28,Mens Casual 190,Fashion,Mens Casual,699.66,1557.58,17.88
191,33,Mens Casual 191,Fashion,Mens Casual,1313.63,3005.02,21.22
192,116,Sarees 192,Fashion,Sarees,1720.79,3090.58,20.95
193,64,Kurtis 193,Fashion,Kurtis,1180.68,1720.16,6.98
194,117,Sarees 194,Fashion,Sarees,962.23,1988.49,20.21
195,85,Mens Casual 195,Fashion,Mens Casual,1297.69,3020.3,8.73
196,19,Kurtis 196,Fashion,Kurtis,610.74,1252.12,15.01
197,130,Mens Casual 197,Fashion,Mens Casual,1462.86,3100.2,10.28
198,19,Kurtis 198,Fashion,Kurtis,1631.09,4063.35,11.9
199,106,Kids Wear 199,Fashion,Kids Wear,1106.33,2135.28,10.83
200,105,Womens Ethnic 200,Fashion,Womens Ethnic,533.43,1211.45,21.43
201,131,Sarees 201,Fashion,Sarees,815.4,1480.48,22.24
202,100,Mens Casual 202,Fashion,Mens Casual,1730.8,3883.51,7.95
203,145,Kurtis 203,Fashion,Kurtis,1221.26,2671.94,18.0
204,145,Womens Ethnic 204,Fashion,Womens Ethnic,1614.14,4113.46,11.49
205,66,Kids Wear 205,Fashion,Kids Wear,1095.07,1922.73,19.33
206,105,Kids Wear 206,Fashion,Kids Wear,889.47,2135.07,21.54
207,139,Womens Ethnic 207,Fashion,Womens Ethnic,1332.67,2245.89,15.65
208,9,Sarees 208,Fashion,Sarees,696.68,1259.54,18.73
209,89,Kurtis 209,Fashion,Kurtis,1549.37,3465.83,18.96
210,54,T-Shirts 210,Fashion,T-Shirts,865.25,1406.04,16.16
211,94,T-Shirts 211,Fashion,T-Shirts,1754.6,4107.81,23.27
212,4,Kurtis 212,Fashion,Kurtis,1391.11,2587.95,22.63
213,118,Kurtis 213,Fashion,Kurtis,1430.73,2152.32,6.55
214,59,Sarees 214,Fashion,Sarees,298.21,694.83,13.38
215,113,T-Shirts 215,Fashion,T-Shirts,1012.17,2066.74,8.44
216,58,T-Shirts 216,Fashion,T-Shirts,354.96,881.32,22.68
217,26,T-Shirts 217,Fashion,T-Shirts,480.64,1214.95,22.98
218,110,Mens Casual 218,Fashion,Mens Casual,139.16,347.28,13.13
219,42,Sarees 219,Fashion,Sarees,840.07,1397.71,23.0
220,65,Mens Casual 220,Fashion,Mens Casual,1206.74,2013.15,15.06
221,118,Sarees 221,Fashion,Sarees,727.48,1440.13,17.53
222,104,Kurtis 222,Fashion,Kurtis,1176.6,1650.78,17.87
223,50,Kids Wear 223,Fashion,Kids Wear,943.84,1646.44,16.6
224,101,Sarees 224,Fashion,Sarees,923.57,1645.04,20.74
225,65,Mens Casual 225,Fashion,Mens Casual,1129.74,1684.53,19.06
226,88,Womens Ethnic 226,Fashion,Womens Ethnic,1111.78,2547.35,10.87
227,127,Sarees 227,Fashion,Sarees,1622.37,3544.17,19.43
228,91,Mens Casual 228,Fashion,Mens Casual,1327.39,1938.11,15.31
229,42,Kurtis 229,Fashion,Kurtis,840.31,1301.99,11.95
230,46,Womens Ethnic 230,Fashion,Womens Ethnic,349.49,736.64,13.6
231,127,Sarees 231,Fashion,Sarees,334.67,577.82,19.99
232,133,Womens Ethnic 232,Fashion,Womens Ethnic,1273.19,2643.47,6.93
233,99,Womens Ethnic 233,Fashion,Womens Ethnic,1547.02,3613.06,8.2
234,4,Kids Wear 234,Fashion,Kids Wear,1142.11,2238.78,6.74
235,9,Womens Ethnic 235,Fashion,Womens Ethnic,1659.49,3660.55,14.11
236,101,Kurtis 236,Fashion,Kurtis,970.87,1732.3,13.94
237,128,T-Shirts 237,Fashion,T-Shirts,509.41,902.08,11.1
238,147,Sarees 238,Fashion,Sarees,1385.44,2325.28,17.45
239,54,Womens Ethnic 239,Fashion,Womens Ethnic,1051.51,1820.75,7.93
240,128,Kurtis 240,Fashion,Kurtis,654.17,1367.4,7.22
241,4,Mens Casual 241,Fashion,Mens Casual,361.0,592.53,12.3
242,65,Mens Casual 242,Fashion,Mens Casual,1686.62,3457.36,17.79
243,27,T-Shirts 243,Fashion,T-Shirts,414.24,893.23,7.56
244,91,Kurtis 244,Fashion,Kurtis,1222.44,1999.4,16.82
245,148,T-Shirts 245,Fashion,T-Shirts,144.19,252.7,11.09
246,10,Mens Casual 246,Fashion,Mens Casual,646.7,1253.42,19.12
247,143,Mens Casual 247,Fashion,Mens Casual,1397.36,2190.26,15.76
248,100,Sarees 248,Fashion,Sarees,1261.36,3260.25,21.35
249,43,Womens Ethnic 249,Fashion,Womens Ethnic,1789.49,3336.85,21.15
250,19,Kurtis 250,Fashion,Kurtis,1089.76,1944.37,22.1
251,121,Kids Wear 251,Fashion,Kids Wear,148.05,245.01,15.9
252,50,Kurtis 252,Fashion,Kurtis,894.71,1564.16,6.38
253,42,Womens Ethnic 253,Fashion,Womens Ethnic,977.7,1846.84,18.43
254,115,Kurtis 254,Fashion,Kurtis,1236.38,2671.03,18.7
255,131,Mens Casual 255,Fashion,Mens Casual,766.51,1424.37,9.0
256,80,Womens Ethnic 256,Fashion,Womens Ethnic,912.83,1659.43,16.07
257,27,Kurtis 257,Fashion,Kurtis,667.18,1112.16,7.4
258,113,Sarees 258,Fashion,Sarees,975.72,1432.14,20.93
259,35,Sarees 259,Fashion,Sarees,1534.92,3057.49,23.78
260,9,T-Shirts 260,Fashion,T-Shirts,1058.59,2252.82,21.74
261,114,Womens Ethnic 261,Fashion,Womens Ethnic,1668.74,3398.89,11.75
262,48,Sarees 262,Fashion,Sarees,573.29,1048.56,10.29
263,113,Womens Ethnic 263,Fashion,Womens Ethnic,471.48,667.4,14.8
264,44,Sarees 264,Fashion,Sarees,306.08,748.76,10.79
265,97,Kurtis 265,Fashion,Kurtis,913.21,2296.34,11.83
266,73,Sarees 266,Fashion,Sarees,227.76,571.25,16.37
267,94,Sarees 267,Fashion,Sarees,920.73,1574.92,7.71
268,92,T-Shirts 268,Fashion,T-Shirts,639.41,1070.79,19.78
269,77,Kids Wear 269,Fashion,Kids Wear,864.92,1522.72,18.2
270,83,Kurtis 270,Fashion,Kurtis,1013.5,2614.54,8.51
271,147,Sarees 271,Fashion,Sarees,1219.89,3095.8,23.41
272,27,T-Shirts 272,Fashion,T-Shirts,309.0,625.65,19.71
273,111,Womens Ethnic 273,Fashion,Womens Ethnic,1495.81,2658.97,14.57
274,89,Mens Casual 274,Fashion,Mens Casual,1442.74,2960.7,7.34
275,127,Sarees 275,Fashion,Sarees,838.75,1915.06,23.88
276,137,T-Shirts 276,Fashion,T-Shirts,738.69,1620.11,6.17
277,54,Kurtis 277,Fashion,Kurtis,1034.92,2074.81,23.86
278,16,Kurtis 278,Fashion,Kurtis,495.21,951.15,9.19
279,14,Sarees 279,Fashion,Sarees,657.66,1672.88,10.48
280,89,T-Shirts 280,Fashion,T-Shirts,622.65,1428.77,12.78
281,139,T-Shirts 281,Fashion,T-Shirts,524.96,865.07,16.41
282,93,Mens Casual 282,Fashion,Mens Casual,625.1,1603.93,8.49
283,82,Kids Wear 283,Fashion,Kids Wear,879.48,1589.05,21.54
284,35,Kids Wear 284,Fashion,Kids Wear,1333.75,3232.84,13.24
285,52,Kurtis 285,Fashion,Kurtis,1033.78,2469.35,20.47
286,38,Kids Wear 286,Fashion,Kids Wear,1792.22,4098.42,14.35
287,100,Sarees 287,Fashion,Sarees,304.97,619.21,19.91
288,97,T-Shirts 288,Fashion,T-Shirts,1681.85,3386.4,16.44
289,107,Sarees 289,Fashion,Sarees,1730.42,2943.66,19.02
290,121,Mens Casual 290,Fashion,Mens Casual,1720.49,4468.44,6.44
291,72,T-Shirts 291,Fashion,T-Shirts,1054.94,2301.61,14.45
292,106,Sarees 292,Fashion,Sarees,1383.53,3090.91,15.48
293,32,Kurtis 293,Fashion,Kurtis,1784.67,2903.75,20.34
294,72,Mens Casual 294,Fashion,Mens Casual,420.47,877.22,7.62
295,58,T-Shirts 295,Fashion,T-Shirts,1737.86,4379.04,8.51
296,101,T-Shirts 296,Fashion,T-Shirts,121.64,307.37,9.34
297,25,Mens Casual 297,Fashion,Mens Casual,1271.14,2162.01,22.41
298,17,Kids Wear 298,Fashion,Kids Wear,581.29,1070.54,21.18
299,136,Kurtis 299,Fashion,Kurtis,395.83,810.08,21.98
300,14,Mens Casual 300,Fashion,Mens Casual,263.7,611.52,22.03
301,41,Kids Wear 301,Fashion,Kids Wear,795.93,1141.04,15.09
302,78,Sarees 302,Fashion,Sarees,917.74,1644.28,21.68
303,140,Womens Ethnic 303,Fashion,Womens Ethnic,638.03,1235.31,23.12
304,129,Kids Wear 304,Fashion,Kids Wear,864.29,1652.49,16.52
305,38,Sarees 305,Fashion,Sarees,1219.13,1841.93,20.03
306,139,Kids Wear 306,Fashion,Kids Wear,220.27,418.82,13.34
307,54,Kurtis 307,Fashion,Kurtis,647.06,1132.75,11.37
308,138,Sarees 308,Fashion,Sarees,204.91,454.1,9.15
309,140,Womens Ethnic 309,Fashion,Womens Ethnic,1088.72,2636.06,13.91
310,75,Kurtis 310,Fashion,Kurtis,1124.61,2453.09,13.11
311,102,T-Shirts 311,Fashion,T-Shirts,478.63,790.32,9.64
312,11,Womens Ethnic 312,Fashion,Womens Ethnic,1551.24,2718.11,7.86
313,39,Mens Casual 313,Fashion,Mens Casual,1370.29,3509.23,15.25
314,104,Womens Ethnic 314,Fashion,Womens Ethnic,515.84,850.61,11.61
315,128,Womens Ethnic 315,Fashion,Womens Ethnic,986.15,2339.08,11.06
316,62,Womens Ethnic 316,Fashion,Womens Ethnic,1181.24,2267.66,10.57
317,9,T-Shirts 317,Fashion,T-Shirts,1308.37,3179.52,10.12
318,26,Womens Ethnic 318,Fashion,Womens Ethnic,222.59,565.58,12.99
319,37,Mens Casual 319,Fashion,Mens Casual,1411.25,2706.55,15.43
320,75,Kids Wear 320,Fashion,Kids Wear,1526.3,2697.33,19.5
321,97,Kurtis 321,Fashion,Kurtis,1187.91,2309.84,8.74
322,27,Kurtis 322,Fashion,Kurtis,711.35,1647.89,17.41
323,10,Kurtis 323,Fashion,Kurtis,644.49,1232.51,12.89
324,16,Sarees 324,Fashion,Sarees,1375.73,3147.3,9.29
325,5,Sarees 325,Fashion,Sarees,1616.9,2838.36,17.47
326,52,Sarees 326,Fashion,Sarees,559.9,1227.38,15.2
327,98,T-Shirts 327,Fashion,T-Shirts,1168.76,2911.17,22.04
328,7,Mens Casual 328,Fashion,Mens Casual,1634.56,2832.61,13.5
329,82,T-Shirts 329,Fashion,T-Shirts,945.9,1942.14,23.76
330,20,Mens Casual 330,Fashion,Mens Casual,1545.26,2436.88,13.75
331,71,Womens Ethnic 331,Fashion,Womens Ethnic,1589.75,3963.9,8.75
332,89,Mens Casual 332,Fashion,Mens Casual,1420.63,2964.4,10.79
333,20,Kids Wear 333,Fashion,Kids Wear,1543.19,2186.37,20.4
334,44,T-Shirts 334,Fashion,T-Shirts,1674.01,3723.7,17.1
335,7,Kids Wear 335,Fashion,Kids Wear,160.28,271.3,23.83
336,109,T-Shirts 336,Fashion,T-Shirts,1682.62,2417.11,13.81
337,57,Womens Ethnic 337,Fashion,Womens Ethnic,544.34,984.05,17.83
338,117,Womens Ethnic 338,Fashion,Womens Ethnic,959.35,1435.85,16.35
339,17,Kids Wear 339,Fashion,Kids Wear,719.48,1642.32,9.07
340,149,Kurtis 340,Fashion,Kurtis,1287.6,2254.91,9.2
341,141,Womens Ethnic 341,Fashion,Womens Ethnic,1498.76,2421.82,7.3
342,91,T-Shirts 342,Fashion,T-Shirts,424.08,852.75,8.5
343,31,Sarees 343,Fashion,Sarees,1586.54,3263.6,23.5
344,86,Mens Casual 344,Fashion,Mens Casual,820.65,1572.47,23.37
345,59,Kids Wear 345,Fashion,Kids Wear,1395.53,2752.92,23.76
346,17,Mens Casual 346,Fashion,Mens Casual,587.98,1470.92,10.17
347,44,Kurtis 347,Fashion,Kurtis,616.18,902.71,12.58
348,102,T-Shirts 348,Fashion,T-Shirts,1389.52,2756.27,20.65
349,73,Mens Casual 349,Fashion,Mens Casual,1062.74,2132.91,11.32
350,101,T-Shirts 350,Fashion,T-Shirts,1530.84,3028.3,12.39
351,40,Mens Casual 351,Fashion,Mens Casual,1121.49,2366.62,21.17
352,5,Kurtis 352,Fashion,Kurtis,1392.63,3181.95,9.44
353,25,Womens Ethnic 353,Fashion,Womens Ethnic,998.2,2164.78,11.17
354,12,Sarees 354,Fashion,Sarees,1221.01,2924.79,15.28
355,70,Womens Ethnic 355,Fashion,Womens Ethnic,678.94,997.14,22.87
356,86,Kurtis 356,Fashion,Kurtis,1556.3,3412.89,16.52
357,55,Kids Wear 357,Fashion,Kids Wear,318.1,493.15,14.4
358,124,Mens Casual 358,Fashion,Mens Casual,296.02,632.64,10.56
359,146,Kids Wear 359,Fashion,Kids Wear,910.47,2029.48,7.93
360,65,Womens Ethnic 360,Fashion,Womens Ethnic,912.4,1807.75,21.37
361,92,Womens Ethnic 361,Fashion,Womens Ethnic,169.67,382.1,13.1
362,136,T-Shirts 362,Fashion,T-Shirts,1614.64,3593.17,13.13
363,123,T-Shirts 363,Fashion,T-Shirts,1688.16,3891.5,11.29
364,2,Kids Wear 364,Fashion,Kids Wear,1126.11,2123.66,13.96
365,75,Mens Casual 365,Fashion,Mens Casual,781.51,1778.35,21.32
366,143,Sarees 366,Fashion,Sarees,562.37,887.18,7.9
367,54,Womens Ethnic 367,Fashion,Womens Ethnic,444.17,897.27,15.02
368,137,Mens Casual 368,Fashion,Mens Casual,717.39,1742.62,18.21
